# Generated by: CFG Studio 2.0.380
# Generated on: 2023-02-21 21:11:05
# File format: GTASA surfinfo.dat
#
# Standard data:
DEFAULT ROAD 1.00 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 SPARKS DEFAULT
TARMAC ROAD 0.99 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 SPARKS TARMAC
TARMAC_FUCKED ROAD 0.98 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 SPARKS TARMAC_FUCKED
TARMAC_REALLYFUCKED ROAD 0.97 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 SPARKS TARMAC_REALLYFUCKED
PAVEMENT ROAD 0.96 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 SPARKS PAVEMENT
PAVEMENT_FUCKED ROAD 0.95 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 SPARKS PAVEMENT_FUCKED
GRAVEL LOOSE 0.94 -0.30 DEFAULT SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 SPARKS GRAVEL
FUCKED_CONCRETE ROAD 0.93 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 SPARKS FUCKED_CONCRETE
PAINTED_GROUND ROAD 0.92 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 SPARKS PAINTED_GROUND
GRASS_SHORT_LUSH LOOSE 0.91 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 SAND GRASS_SHORT_LUSH
GRASS_MEDIUM_LUSH LOOSE 0.90 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 SAND GRASS_MEDIUM_LUSH
GRASS_LONG_LUSH LOOSE 0.89 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 SAND GRASS_LONG_LUSH
GRASS_SHORT_DRY LOOSE 0.88 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 SAND GRASS_SHORT_DRY
GRASS_MEDIUM_DRY LOOSE 0.87 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 SAND GRASS_MEDIUM_DRY
GRASS_LONG_DRY LOOSE 0.86 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 SAND GRASS_LONG_DRY
GOLFGRASS_ROUGH LOOSE 0.85 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 SAND GOLFGRASS_ROUGH
GOLFGRASS_SMOOTH LOOSE 0.84 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 SAND GOLFGRASS_SMOOTH
STEEP_SLIDYGRASS LOOSE 0.83 -0.30 DEFAULT SPARKS 1 0 0 0 0 0 0 10 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 SAND STEEP_SLIDYGRASS
STEEP_CLIFF LOOSE 0.82 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 9 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SPARKS STEEP_CLIFF
FLOWERBED LOOSE 0.81 -0.30 DEFAULT SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 SAND FLOWERBED
MEADOW LOOSE 0.80 -0.30 DEFAULT SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 SAND MEADOW
WASTEGROUND ROAD 1.00 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 SAND WASTEGROUND
WOODLANDGROUND HARD 0.99 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 SAND WOODLANDGROUND
VEGETATION LOOSE 0.98 -0.30 DEFAULT SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 WOOD VEGETATION
MUD_WET SAND 0.97 -0.30 MUDDY SPARKS 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 SAND MUD_WET
MUD_DRY HARD 0.96 -0.30 MUDDY SPARKS 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 SAND MUD_DRY
DIRT ROAD 0.95 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 SAND DIRT
DIRTTRACK ROAD 0.94 -0.30 DEFAULT SPARKS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 SAND DIRTTRACK
SAND_DEEP SAND 0.93 0.30 SANDY SPARKS 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 SAND SAND_DEEP
SAND_MEDIUM SAND 0.92 0.30 SANDY SPARKS 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 SAND SAND_MEDIUM
SAND_COMPACT ROAD 0.91 -0.30 SANDY SPARKS 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 SAND SAND_COMPACT
SAND_ARID SAND 0.90 -0.30 SANDY SPARKS 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 SAND SAND_ARID
SAND_MORE SAND 0.89 -0.30 SANDY SPARKS 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 SAND SAND_MORE
